FIPS,State,County,% Frequent Mental Distress,Average Number of Mentally Unhealthy Days,# Deaths,Suicide Rate (Age-Adjusted),% Food Insecure,% Limited Access to Healthy Foods,% Physically Inactive,% With Access to Exercise Opportunities,80th Percentile Income,20th Percentile Income,Income Ratio,% Severe Housing Problems,Dev2019
48173,Texas,Glasscock,15,4.5,,,11,36,33,,172500,22159,7.8,10,1.164332668
48175,Texas,Goliad,14,4.5,,,14,10,31,47,120172,17548,6.8,8,0.499808231
48177,Texas,Gonzales,15,4.6,16,16,14,17,37,39,106401,23132,4.6,17,1.13751
48179,Texas,Gray,16,4.8,20,18,16,8,34,88,104120,22397,4.6,14,0.91653735
48181,Texas,Grayson,15,4.8,129,19,16,6,28,69,107549,25847,4.2,14,2.975748381
48183,Texas,Gregg,16,4.9,99,16,17,10,32,82,103887,23371,4.4,16,14.42920692
48185,Texas,Grimes,16,4.8,27,17,15,12,34,39,112426,24974,4.5,13,1.606672446
48187,Texas,Guadalupe,13,4.1,118,15,11,12,28,69,133220,36609,3.6,12,3.551898582
48189,Texas,Hale,14,4.4,19,12,14,8,35,73,87703,19784,4.4,17,1.142777401
48191,Texas,Hall,17,5.0,,,19,13,38,29,82615,19333,4.3,12,0.309074
48193,Texas,Hamilton,16,4.9,10,27,17,12,31,26,96772,20799,4.7,16,0.650388085
48195,Texas,Hansford,16,4.8,,,15,4,37,62,99417,25602,3.9,12,0.450555453
48197,Texas,Hardeman,16,4.9,,,17,8,33,5,97860,20659,4.7,9,0.55199712
48199,Texas,Hardin,16,4.9,61,23,16,9,30,52,120479,24159,5.0,12,1.79445521
48201,Texas,Harris,13,4.2,2496,11,14,6,28,90,130585,26786,4.9,20,36.8299322
48203,Texas,Harrison,16,4.9,64,20,16,5,31,58,100583,21897,4.6,14,3.219701839
48205,Texas,Hartley,13,4.1,,,12,12,29,74,116910,33920,3.4,9,0.304162807
48207,Texas,Haskell,17,5.2,,,18,11,38,54,89417,19241,4.6,10,0.573104313
48209,Texas,Hays,13,4.1,154,13,12,2,26,79,135737,30430,4.5,19,4.115159315
48211,Texas,Hemphill,14,4.3,,,12,3,29,84,122786,26197,4.7,12,0.912336029
48213,Texas,Henderson,17,5.1,95,23,17,8,33,55,99194,20265,4.9,13,2.618252655
48215,Texas,Hidalgo,15,4.6,270,7,18,20,37,62,91249,16349,5.6,25,7.64749475
48217,Texas,Hill,15,4.7,44,26,15,2,31,46,103217,24106,4.3,16,1.656012265
48219,Texas,Hockley,15,4.6,21,18,14,15,35,60,102362,20835,4.9,13,0.991721141
48221,Texas,Hood,14,4.5,70,23,14,5,26,73,132948,28673,4.6,13,3.452314344
48223,Texas,Hopkins,16,4.8,44,23,16,9,32,40,106127,25256,4.2,15,2.006424022
48225,Texas,Houston,17,5.1,21,20,18,14,36,54,83154,18015,4.6,18,1.116503489
48227,Texas,Howard,15,4.5,49,28,16,12,35,79,106546,24985,4.3,15,1.681276063
48229,Texas,Hudspeth,17,4.9,,,17,58,44,0,61971,10578,5.9,20,0.124452128
48231,Texas,Hunt,16,4.8,76,16,16,8,30,59,110521,23938,4.6,17,2.832146916
48233,Texas,Hutchinson,16,4.8,17,17,16,9,31,59,108541,23822,4.6,10,1.07042915
48235,Texas,Irion,14,4.4,,,14,26,29,54,106214,21868,4.9,21,0.827183056
48237,Texas,Jack,16,4.9,10,23,16,16,33,52,109026,19364,5.6,12,0.753670162
48239,Texas,Jackson,14,4.5,13,17,15,6,31,51,112269,25027,4.5,16,0.982553719
48241,Texas,Jasper,17,5.2,38,21,18,6,33,33,95075,19193,5.0,9,1.708383075
48243,Texas,Jeff Davis,14,4.2,,,10,8,30,43,81219,21234,3.8,8,0.088541654
48245,Texas,Jefferson,15,4.6,177,14,17,8,34,61,105637,20541,5.1,14,6.735966306
48247,Texas,Jim Hogg,15,4.5,,,19,19,42,,84253,15707,5.4,18,0.258850824
48249,Texas,Jim Wells,15,4.4,37,19,16,10,38,56,102694,18076,5.7,17,1.284902646
48251,Texas,Johnson,15,4.6,125,15,13,6,30,65,116991,32180,3.6,13,4.600810461
48253,Texas,Jones,15,4.5,21,21,15,12,34,17,95216,25500,3.7,11,0.987723865
48255,Texas,Karnes,14,4.3,,,13,6,35,53,122792,20226,6.1,13,2.291650483
48257,Texas,Kaufman,14,4.5,101,16,13,3,29,59,132820,32478,4.1,14,3.774592813
48259,Texas,Kendall,12,3.9,32,14,11,1,24,79,194585,44467,4.4,15,1.366914869
48261,Texas,Kenedy,19,5.5,,,14,37,50,0,60042,21639,2.8,10,0.21131231
48263,Texas,Kent,14,4.4,,,19,30,28,,107469,30458,3.5,8,0.196967735
48265,Texas,Kerr,14,4.4,65,24,15,5,29,63,108969,27595,3.9,12,1.125945245
