"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Tennessee","Bradley County","3","1","1","5","465","445.02","No","Yes"
"Tennessee","Campbell County","1","1","2","4","680","1,712.24","Yes","No"
"Tennessee","Cannon County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Carroll County","1","3","3","7","1,155","4,111.49","No","No"
"Tennessee","Carter County","0","0","3","3","825","1,460.13","Yes","No"
"Tennessee","Cheatham County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Chester County","0","0","0","0","0","0","No","Yes"
"Tennessee","Claiborne County","1","0","0","1","30","94.47","Yes","Yes"
"Tennessee","Clay County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Cocke County","4","1","0","5","220","624.66","No","No"
"Tennessee","Coffee County","5","5","5","15","2,025","3,703.23","Yes","No"
"Tennessee","Crockett County","0","1","0","1","100","693.91","No","No"
"Tennessee","Cumberland County","1","1","0","2","130","221.63","No","Yes"
"Tennessee","Davidson County","102","49","23","174","14,285","2,087.2","Yes","No"
"Tennessee","Decatur County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","DeKalb County","0","0","0","0","0","0","No","Yes"
"Tennessee","Dickson County","2","1","2","5","710","1,360.94","Yes","No"
"Tennessee","Dyer County","0","0","0","0","0","0","No","Yes"
"Tennessee","Fayette County","1","1","0","2","130","328.37","No","Yes"
"Tennessee","Fentress County","2","0","0","2","60","332.72","No","Yes"
"Tennessee","Franklin County","3","0","0","3","90","215.83","Yes","Yes"
"Tennessee","Gibson County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Giles County","1","0","0","1","30","102.36","No","Yes"
"Tennessee","Grainger County","0","0","0","0","0","0","No","Yes"
"Tennessee","Greene County","5","2","4","11","1,450","2,113.24","Yes","No"
"Tennessee","Grundy County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Hamblen County","1","3","2","6","880","1,379.63","Yes","No"
"Tennessee","Hamilton County","23","9","6","38","3,240","905.69","Yes","No"
"Tennessee","Hancock County","1","0","0","1","30","456.14","Yes","Yes"
"Tennessee","Hardeman County","0","1","0","1","100","393.16","No","Yes"
"Tennessee","Hardin County","3","2","1","6","565","2,200.24","Yes","No"
"Tennessee","Hawkins County","0","3","0","3","300","530.38","Yes","No"
"Tennessee","Haywood County","1","0","0","1","30","168.04","No","Yes"
"Tennessee","Henderson County","0","0","1","1","275","988.43","No","No"
"Tennessee","Henry County","0","1","1","2","375","1,160.63","No","No"
"Tennessee","Hickman County","0","0","0","0","0","0","No","Yes"
"Tennessee","Houston County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Humphreys County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Jackson County","5","3","2","10","1,000","8,646.03","No","No"
"Tennessee","Jefferson County","2","2","0","4","260","485.66","No","No"
"Tennessee","Johnson County","0","0","0","0","0","0","No","Yes"
"Tennessee","Knox County","31","28","26","85","10,880","2,385.27","Yes","No"
"Tennessee","Lake County","0","0","1","1","275","3,637.57","No","No"
"Tennessee","Lauderdale County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Lawrence County","0","3","0","3","300","696.36","No","No"
"Tennessee","Lewis County","0","0","0","0","0","0","No","Yes"
"Tennessee","Lincoln County","1","0","0","1","30","89.17","Yes","Yes"
"Tennessee","Loudon County","2","0","3","5","885","1,719.98","Yes","No"
"Tennessee","McMinn County","1","2","0","3","230","435.19","Yes","Yes"
"Tennessee","McNairy County","1","1","0","2","130","501.25","No","No"
"Tennessee","Macon County","1","0","0","1","30","127.93","Yes","Yes"
"Tennessee","Madison County","9","7","3","19","1,795","1,837.95","No","No"
"Tennessee","Marion County","3","1","0","4","190","667.93","No","No"
"Tennessee","Marshall County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Maury County","2","5","1","8","835","927.97","Yes","No"
"Tennessee","Meigs County","0","0","0","0","0","0","No","Yes"
"Tennessee","Monroe County","1","0","0","1","30","65.26","Yes","Yes"
"Tennessee","Montgomery County","5","6","1","12","1,025","523.67","No","No"
"Tennessee","Moore County","0","0","0","0","0","0","No","Yes"
"Tennessee","Morgan County","0","0","0","0","0","0","No","Yes"
"Tennessee","Obion County","0","0","1","1","275","899.34","No","No"
"Tennessee","Overton County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Perry County","0","0","2","2","550","6,906.08","No","No"
"Tennessee","Pickett County","0","1","0","1","100","1,944.77","No","No"
"Tennessee","Polk County","0","0","0","0","0","0","No","Yes"
"Tennessee","Putnam County","1","1","1","3","405","533.38","Yes","No"
"Tennessee","Rhea County","0","1","0","1","100","308.24","Yes","Yes"
"Tennessee","Roane County","1","2","5","8","1,605","3,035.52","Yes","No"
"Tennessee","Robertson County","0","3","2","5","850","1,228.95","No","No"
"Tennessee","Rutherford County","24","6","10","40","4,070","1,320.35","No","No"
"Tennessee","Scott County","1","1","4","6","1,230","5,604.41","Yes","No"
"Tennessee","Sequatchie County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Sevier County","0","8","2","10","1,350","1,396.46","Yes","No"
"Tennessee","Shelby County","49","20","15","84","7,595","812.64","No","No"
"Tennessee","Smith County","3","0","0","3","90","462.8","Yes","Yes"
"Tennessee","Stewart County","0","0","0","0","0","0","No","Yes"
"Tennessee","Sullivan County","10","21","11","42","5,425","3,462.76","Yes","No"
"Tennessee","Sumner County","3","2","3","8","1,115","619.23","Yes","No"
"Tennessee","Tipton County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Trousdale County","0","0","0","0","0","0","No","Yes"
"Tennessee","Unicoi County","1","0","0","1","30","169.31","Yes","Yes"
"Tennessee","Union County","0","0","0","0","0","0","Yes","Yes"
"Tennessee","Van Buren County","0","0","0","0","0","0","No","Yes"
"Tennessee","Warren County","3","0","0","3","90","222.13","Yes","Yes"
"Tennessee","Washington County","25","35","33","93","13,325","10,455.9","Yes","No"
"Tennessee","Wayne County","0","1","0","1","100","598.34","No","No"
"Tennessee","Weakley County","1","1","0","2","130","387.98","Yes","Yes"
"Tennessee","White County","1","0","0","1","30","112.56","Yes","Yes"
"Tennessee","Williamson County","19","7","7","33","3,195","1,458.19","No","No"
"Tennessee","Wilson County","3","2","8","13","2,490","1,875.27","Yes","No"
"Texas","Anderson County","1","1","0","2","130","225.17","No","Yes"
"Texas","Andrews County","1","0","0","1","30","168.92","No","Yes"
"Texas","Angelina County","1","0","0","1","30","34.17","No","Yes"
"Texas","Aransas County","0","0","0","0","0","0","Yes","Yes"
"Texas","Archer County","1","0","0","1","30","344.71","No","Yes"
"Texas","Armstrong County","0","0","0","0","0","0","No","Yes"
"Texas","Atascosa County","0","0","0","0","0","0","Yes","Yes"
"Texas","Austin County","0","0","0","0","0","0","No","Yes"
"Texas","Bailey County","0","0","0","0","0","0","No","Yes"
"Texas","Bandera County","0","0","0","0","0","0","No","Yes"
"Texas","Bastrop County","1","3","0","4","330","398.87","No","Yes"
"Texas","Baylor County","0","1","0","1","100","2,704.9","No","No"
"Texas","Bee County","0","0","0","0","0","0","No","Yes"
"Texas","Bell County","18","6","0","24","1,140","334.89","No","Yes"
"Texas","Bexar County","99","27","4","130","6,770","351.02","No","Yes"
"Texas","Blanco County","0","0","0","0","0","0","No","Yes"
"Texas","Borden County","0","0","0","0","0","0","No","Yes"
"Texas","Bosque County","0","0","0","0","0","0","No","Yes"
"Texas","Bowie County","4","0","1","5","395","420.84","No","Yes"
"Texas","Brazoria County","12","4","3","19","1,585","447.49","No","Yes"
"Texas","Brazos County","8","0","1","9","515","233.65","No","Yes"
"Texas","Brewster County","0","0","0","0","0","0","No","Yes"
"Texas","Briscoe County","0","0","0","0","0","0","No","Yes"
"Texas","Brooks County","0","0","0","0","0","0","No","Yes"
"Texas","Brown County","0","0","0","0","0","0","No","Yes"
"Texas","Burleson County","0","0","0","0","0","0","No","Yes"
"Texas","Burnet County","4","1","1","6","495","1,070.43","Yes","No"
"Texas","Caldwell County","0","0","0","0","0","0","No","Yes"
"Texas","Calhoun County","0","0","0","0","0","0","Yes","Yes"
"Texas","Callahan County","0","0","0","0","0","0","No","Yes"
"Texas","Cameron County","6","4","0","10","580","137.4","No","Yes"
"Texas","Camp County","0","0","0","0","0","0","No","Yes"
"Texas","Carson County","0","0","0","0","0","0","No","Yes"
"Texas","Cass County","0","0","0","0","0","0","No","Yes"
"Texas","Castro County","0","0","0","0","0","0","No","Yes"
"Texas","Chambers County","1","0","0","1","30","75.19","No","Yes"
"Texas","Cherokee County","2","0","0","2","60","116.13","No","Yes"
"Texas","Childress County","1","0","0","1","30","425.41","Yes","Yes"
"Texas","Clay County","0","0","0","0","0","0","No","Yes"
"Texas","Cochran County","0","0","0","0","0","0","Yes","Yes"
"Texas","Coke County","0","0","0","0","0","0","No","Yes"
"Texas","Coleman County","0","0","0","0","0","0","No","Yes"
"Texas","Collin County","42","22","5","69","4,835","514.59","No","No"
"Texas","Collingsworth County","0","0","0","0","0","0","No","Yes"
"Texas","Colorado County","0","0","0","0","0","0","No","Yes"
"Texas","Comal County","3","1","0","4","190","140.96","No","Yes"
"Texas","Comanche County","0","0","0","0","0","0","No","Yes"
"Texas","Concho County","1","0","0","1","30","701.1","No","No"
"Texas","Cooke County","0","0","0","0","0","0","Yes","Yes"
"Texas","Coryell County","0","0","0","0","0","0","No","Yes"
"Texas","Cottle County","0","0","0","0","0","0","No","Yes"
"Texas","Crane County","0","0","0","0","0","0","No","Yes"
"Texas","Crockett County","0","0","0","0","0","0","No","Yes"
"Texas","Crosby County","0","0","0","0","0","0","No","Yes"
"Texas","Culberson County","0","0","0","0","0","0","No","Yes"
"Texas","Dallam County","0","0","0","0","0","0","No","Yes"
"Texas","Dallas County","158","34","11","203","11,165","433.59","No","Yes"
"Texas","Dawson County","0","0","0","0","0","0","No","Yes"
"Texas","Deaf Smith County","0","0","0","0","0","0","No","Yes"
"Texas","Delta County","0","0","0","0","0","0","No","Yes"
"Texas","Denton County","36","5","4","45","2,680","332.43","No","Yes"
"Texas","DeWitt County","0","0","0","0","0","0","No","Yes"
"Texas","Dickens County","0","0","0","0","0","0","No","Yes"
"Texas","Dimmit County","2","0","0","2","60","555.86","Yes","No"
"Texas","Donley County","0","0","0","0","0","0","Yes","Yes"
"Texas","Duval County","0","0","0","0","0","0","No","Yes"
"Texas","Eastland County","1","0","0","1","30","164.17","No","Yes"
"Texas","Ector County","1","0","0","1","30","19.05","No","Yes"
"Texas","Edwards County","0","0","0","0","0","0","No","Yes"
"Texas","Ellis County","3","2","1","6","565","335.31","No","Yes"
"Texas","El Paso County","25","2","2","29","1,500","179.02","No","Yes"
"Texas","Erath County","1","1","0","2","130","312.06","No","Yes"
"Texas","Falls County","1","0","0","1","30","173.68","No","Yes"
"Texas","Fannin County","2","1","1","4","435","1,278.25","No","No"
"Texas","Fayette County","0","0","0","0","0","0","No","Yes"
"Texas","Fisher County","0","0","0","0","0","0","No","Yes"
"Texas","Floyd County","0","0","0","0","0","0","Yes","Yes"
"Texas","Foard County","0","0","0","0","0","0","No","Yes"
"Texas","Fort Bend County","18","10","3","31","2,365","319.06","No","Yes"
"Texas","Franklin County","0","0","0","0","0","0","No","Yes"
"Texas","Freestone County","0","0","0","0","0","0","No","Yes"
"Texas","Frio County","2","0","0","2","60","316.52","No","Yes"
"Texas","Gaines County","1","1","1","3","405","1,977.73","No","No"
"Texas","Galveston County","18","8","3","29","2,165","657.19","No","No"
"Texas","Garza County","0","0","0","0","0","0","No","Yes"
"Texas","Gillespie County","2","0","0","2","60","226.24","No","Yes"
"Texas","Glasscock County","0","0","0","0","0","0","No","Yes"
"Texas","Goliad County","0","0","0","0","0","0","No","Yes"
"Texas","Gonzales County","0","0","0","0","0","0","No","Yes"
"Texas","Gray County","1","0","0","1","30","132.01","Yes","Yes"
"Texas","Grayson County","8","3","1","12","815","635.55","No","No"
"Texas","Gregg County","3","4","1","8","765","618.21","No","No"
"Texas","Grimes County","0","0","0","0","0","0","No","Yes"
"Texas","Guadalupe County","2","3","2","7","910","586.09","No","No"
"Texas","Hale County","0","0","0","0","0","0","No","Yes"
"Texas","Hall County","0","0","0","0","0","0","No","Yes"
"Texas","Hamilton County","1","0","0","1","30","361.27","No","Yes"
"Texas","Hansford County","0","0","0","0","0","0","No","Yes"
"Texas","Hardeman County","0","0","0","0","0","0","No","Yes"
"Texas","Hardin County","0","0","0","0","0","0","No","Yes"
"Texas","Harris County","246","57","29","332","21,055","458.72","No","Yes"
"Texas","Harrison County","1","0","0","1","30","45.09","No","Yes"
"Texas","Hartley County","0","0","0","0","0","0","No","Yes"
"Texas","Haskell County","0","0","0","0","0","0","No","Yes"
"Texas","Hays County","6","2","0","8","380","185.85","No","Yes"
"Texas","Hemphill County","0","0","0","0","0","0","No","Yes"
"Texas","Henderson County","2","0","0","2","60","75.09","No","Yes"
"Texas","Hidalgo County","6","4","0","10","580","68.25","No","Yes"
"Texas","Hill County","3","0","0","3","90","256.58","Yes","Yes"
"Texas","Hockley County","0","0","0","0","0","0","No","Yes"
"Texas","Hood County","2","1","0","3","160","281.41","No","Yes"
"Texas","Hopkins County","0","0","0","0","0","0","No","Yes"
"Texas","Houston County","0","0","0","0","0","0","No","Yes"
"Texas","Howard County","5","1","0","6","250","681.05","No","No"
"Texas","Hudspeth County","1","0","0","1","30","740.19","No","No"
"Texas","Hunt County","0","1","1","2","375","407.29","No","Yes"
"Texas","Hutchinson County","0","0","0","0","0","0","Yes","Yes"
"Texas","Irion County","1","0","0","1","30","1,926.78","No","No"
"Texas","Jack County","0","0","0","0","0","0","No","Yes"
"Texas","Jackson County","0","0","0","0","0","0","No","Yes"
"Texas","Jasper County","1","2","0","3","230","645.2","No","No"
"Texas","Jeff Davis County","0","0","0","0","0","0","No","Yes"
"Texas","Jefferson County","24","5","4","33","2,320","910.95","No","No"
"Texas","Jim Hogg County","0","0","0","0","0","0","No","Yes"
"Texas","Jim Wells County","0","0","0","0","0","0","No","Yes"
"Texas","Johnson County","4","2","1","7","595","364.42","No","Yes"
"Texas","Jones County","2","0","0","2","60","299.87","No","Yes"
"Texas","Karnes County","0","0","0","0","0","0","No","Yes"
"Texas","Kaufman County","2","1","0","3","160","135.19","No","Yes"
"Texas","Kendall County","2","0","1","3","335","787.49","No","No"
"Texas","Kenedy County","0","0","0","0","0","0","No","Yes"
"Texas","Kent County","0","0","0","0","0","0","No","Yes"
"Texas","Kerr County","9","2","1","12","745","1,446.49","No","No"
"Texas","Kimble County","0","0","0","0","0","0","No","Yes"
"Texas","King County","0","0","0","0","0","0","No","Yes"
"Texas","Kinney County","0","0","0","0","0","0","No","Yes"
"Texas","Kleberg County","0","0","0","0","0","0","No","Yes"
"Texas","Knox County","0","0","0","0","0","0","No","Yes"
"Texas","Lamar County","1","0","2","3","580","1,164.87","No","No"
"Texas","Lamb County","0","0","0","0","0","0","No","Yes"
"Texas","Lampasas County","0","0","0","0","0","0","No","Yes"
"Texas","La Salle County","1","0","0","1","30","394.06","Yes","Yes"
"Texas","Lavaca County","0","0","0","0","0","0","No","Yes"
"Texas","Lee County","0","0","0","0","0","0","No","Yes"
"Texas","Leon County","0","0","0","0","0","0","Yes","Yes"
"Texas","Liberty County","2","2","0","4","260","318.22","No","Yes"
"Texas","Limestone County","0","1","0","1","100","426.11","Yes","Yes"
"Texas","Lipscomb County","0","0","0","0","0","0","No","Yes"
"Texas","Live Oak County","0","0","0","0","0","0","No","Yes"
"Texas","Llano County","0","0","0","0","0","0","Yes","Yes"
"Texas","Loving County","0","0","0","0","0","0","No","Yes"
"Texas","Lubbock County","7","2","1","10","685","225.97","Yes","Yes"
"Texas","Lynn County","0","0","0","0","0","0","Yes","Yes"
"Texas","McCulloch County","0","0","0","0","0","0","No","Yes"
"Texas","McLennan County","16","1","0","17","580","233.93","No","Yes"
"Texas","McMullen County","0","0","0","0","0","0","No","Yes"
"Texas","Madison County","1","0","0","1","30","214.48","No","Yes"
"Texas","Marion County","0","0","0","0","0","0","No","Yes"
"Texas","Martin County","0","0","0","0","0","0","No","Yes"
"Texas","Mason County","0","0","0","0","0","0","No","Yes"
"Texas","Matagorda County","0","0","1","1","275","739.51","No","No"
"Texas","Maverick County","0","0","0","0","0","0","No","Yes"
"Texas","Medina County","4","0","0","4","120","243.49","No","Yes"
"Texas","Menard County","0","0","0","0","0","0","No","Yes"
"Texas","Midland County","10","1","1","12","675","415.22","No","Yes"
"Texas","Milam County","0","0","0","0","0","0","No","Yes"
"Texas","Mills County","0","0","0","0","0","0","Yes","Yes"
"Texas","Mitchell County","0","0","0","0","0","0","No","Yes"
"Texas","Montague County","0","0","0","0","0","0","No","Yes"
"Texas","Montgomery County","19","7","7","33","3,195","574.43","No","No"
"Texas","Moore County","0","0","0","0","0","0","No","Yes"
"Texas","Morris County","0","0","0","0","0","0","No","Yes"
"Texas","Motley County","0","0","0","0","0","0","No","Yes"
"Texas","Nacogdoches County","3","0","0","3","90","136.77","No","Yes"
"Texas","Navarro County","0","0","0","0","0","0","No","Yes"
"Texas","Newton County","0","0","0","0","0","0","No","Yes"
"Texas","Nolan County","0","0","0","0","0","0","No","Yes"
"Texas","Nueces County","10","8","2","20","1,650","456.62","No","Yes"
"Texas","Ochiltree County","0","0","0","0","0","0","No","Yes"
"Texas","Oldham County","0","0","0","0","0","0","Yes","Yes"
"Texas","Orange County","4","2","1","7","595","700.3","No","No"
"Texas","Palo Pinto County","0","0","0","0","0","0","No","Yes"
"Texas","Panola County","0","1","0","1","100","425.68","No","Yes"
"Texas","Parker County","2","3","0","5","360","278.12","No","Yes"
"Texas","Parmer County","0","0","0","0","0","0","No","Yes"
"Texas","Pecos County","0","0","0","0","0","0","No","Yes"
"Texas","Polk County","0","0","1","1","275","573.92","No","No"
"Texas","Potter County","9","0","0","9","270","223.45","No","Yes"
"Texas","Presidio County","0","0","0","0","0","0","No","Yes"
"Texas","Rains County","0","0","0","0","0","0","No","Yes"
"Texas","Randall County","1","0","0","1","30","22.64","No","Yes"
"Texas","Reagan County","0","0","0","0","0","0","No","Yes"
"Texas","Real County","0","0","0","0","0","0","No","Yes"
"Texas","Red River County","0","0","0","0","0","0","No","Yes"
"Texas","Reeves County","0","0","0","0","0","0","No","Yes"
"Texas","Refugio County","0","0","0","0","0","0","No","Yes"
"Texas","Roberts County","0","0","0","0","0","0","No","Yes"
"Texas","Robertson County","0","0","0","0","0","0","No","Yes"
"Texas","Rockwall County","2","0","0","2","60","63.84","No","Yes"
"Texas","Runnels County","0","0","0","0","0","0","No","Yes"
"Texas","Rusk County","0","0","0","0","0","0","No","Yes"
"Texas","Sabine County","0","0","0","0","0","0","No","Yes"
"Texas","San Augustine County","0","0","0","0","0","0","No","Yes"
"Texas","San Jacinto County","1","0","0","1","30","108.28","No","Yes"
"Texas","San Patricio County","1","0","0","1","30","44.34","No","Yes"
"Texas","San Saba County","0","0","0","0","0","0","No","Yes"
"Texas","Schleicher County","0","0","0","0","0","0","No","Yes"
"Texas","Scurry County","0","0","0","0","0","0","Yes","Yes"
"Texas","Shackelford County","0","0","0","0","0","0","No","Yes"
"Texas","Shelby County","0","1","1","2","375","1,466.05","No","No"
"Texas","Sherman County","0","0","0","0","0","0","No","Yes"
"Texas","Smith County","9","3","1","13","845","375.07","No","Yes"
"Texas","Somervell County","0","0","0","0","0","0","No","Yes"
"Texas","Starr County","0","0","0","0","0","0","No","Yes"
"Texas","Stephens County","0","0","0","0","0","0","No","Yes"
"Texas","Sterling County","0","0","0","0","0","0","No","Yes"
"Texas","Stonewall County","1","0","0","1","30","2,103.79","No","No"
"Texas","Sutton County","0","0","0","0","0","0","No","Yes"
"Texas","Swisher County","0","0","0","0","0","0","No","Yes"
"Texas","Tarrant County","94","39","12","145","10,020","496.81","No","No"
"Texas","Taylor County","3","2","0","5","290","212.4","No","Yes"
"Texas","Terrell County","0","0","0","0","0","0","No","Yes"
"Texas","Terry County","0","0","0","0","0","0","Yes","Yes"
"Texas","Throckmorton County","0","0","0","0","0","0","No","Yes"
"Texas","Titus County","0","0","0","0","0","0","No","Yes"
"Texas","Tom Green County","1","1","0","2","130","109.81","No","Yes"
"Texas","Travis County","110","25","17","152","10,475","873.41","No","No"
"Texas","Trinity County","0","0","0","0","0","0","No","Yes"
"Texas","Tyler County","0","0","0","0","0","0","No","Yes"
"Texas","Upshur County","1","0","0","1","30","73.23","No","Yes"
"Texas","Upton County","0","0","0","0","0","0","No","Yes"
"Texas","Uvalde County","0","0","0","0","0","0","No","Yes"
"Texas","Val Verde County","0","0","0","0","0","0","No","Yes"
"Texas","Van Zandt County","0","0","0","0","0","0","No","Yes"
"Texas","Victoria County","1","1","0","2","130","140.59","Yes","Yes"
"Texas","Walker County","2","1","0","3","160","223.83","No","Yes"
"Texas","Waller County","0","0","0","0","0","0","No","Yes"
"Texas","Ward County","0","0","0","0","0","0","No","Yes"
"Texas","Washington County","0","0","0","0","0","0","No","Yes"
"Texas","Webb County","4","0","1","5","395","145.65","No","Yes"
"Texas","Wharton County","0","0","0","0","0","0","No","Yes"
"Texas","Wheeler County","0","0","0","0","0","0","Yes","Yes"
"Texas","Wichita County","1","1","2","4","680","515.78","No","No"
"Texas","Wilbarger County","1","1","0","2","130","1,008.38","No","No"
"Texas","Willacy County","0","0","0","0","0","0","No","Yes"
"Texas","Williamson County","26","6","3","35","2,205","417.05","No","Yes"
"Texas","Wilson County","0","0","0","0","0","0","No","Yes"
"Texas","Winkler County","0","0","0","0","0","0","No","Yes"
"Texas","Wise County","0","0","0","0","0","0","No","Yes"
"Texas","Wood County","0","0","0","0","0","0","No","Yes"
"Texas","Yoakum County","0","0","0","0","0","0","No","Yes"
"Texas","Young County","0","0","0","0","0","0","Yes","Yes"
"Texas","Zapata County","0","0","0","0","0","0","No","Yes"
"Texas","Zavala County","0","0","0","0","0","0","No","Yes"
"Utah","Beaver County","0","0","0","0","0","0","No","Yes"
"Utah","Box Elder County","1","0","0","1","30","56.46","No","Yes"
"Utah","Cache County","8","4","0","12","640","521.37","No","No"
"Utah","Carbon County","9","1","0","10","370","1,813.81","Yes","No"
"Utah","Daggett County","0","0","0","0","0","0","No","Yes"
"Utah","Davis County","31","8","6","45","3,380","987.49","No","No"
"Utah","Duchesne County","1","1","0","2","130","639.23","No","No"
"Utah","Emery County","0","0","0","0","0","0","No","Yes"
"Utah","Garfield County","0","0","0","0","0","0","Yes","Yes"
"Utah","Grand County","3","0","0","3","90","939.56","No","No"
"Utah","Iron County","3","0","0","3","90","180.23","Yes","Yes"
"Utah","Juab County","1","0","0","1","30","272.48","No","Yes"
"Utah","Kane County","0","0","0","0","0","0","Yes","Yes"
"Utah","Millard County","1","0","0","1","30","236.33","No","Yes"
"Utah","Morgan County","1","1","0","2","130","1,136.66","No","No"
"Utah","Piute County","0","0","0","0","0","0","No","Yes"
"Utah","Rich County","0","0","0","0","0","0","No","Yes"
"Utah","Salt Lake County","230","59","18","307","17,750","1,582.91","No","No"
"Utah","San Juan County","3","0","0","3","90","532.7","No","No"
"Utah","Sanpete County","3","1","0","4","190","646.06","No","No"
"Utah","Sevier County","1","0","0","1","30","141.06","Yes","Yes"
"Utah","Summit County","8","3","0","11","540","1,339.72","No","No"
"Utah","Tooele County","4","2","0","6","320","493.58","No","No"
"Utah","Uintah County","7","2","0","9","410","1,127.21","No","No"
"Utah","Utah County","62","28","5","95","6,035","1,018.91","No","No"
"Utah","Wasatch County","2","1","0","3","160","524.11","No","No"
"Utah","Washington County","36","4","0","40","1,480","923.59","Yes","No"
"Utah","Wayne County","0","0","0","0","0","0","No","Yes"
"Utah","Weber County","19","7","4","30","2,370","957.34","Yes","No"
"Vermont","Addison County","13","1","1","15","765","2,069.86","No","No"
"Vermont","Bennington County","9","5","1","15","1,045","2,887.46","No","No"
"Vermont","Caledonia County","15","3","0","18","750","2,472.55","No","No"
"Vermont","Chittenden County","108","15","4","127","5,840","3,615.41","No","No"
"Vermont","Essex County","2","0","0","2","60","971.5","No","No"
"Vermont","Franklin County","15","9","2","26","1,900","3,884.29","No","No"
"Vermont","Grand Isle County","0","0","0","0","0","0","No","Yes"
"Vermont","Lamoille County","7","1","2","10","860","3,394.78","No","No"
"Vermont","Orange County","11","3","3","17","1,455","5,031.29","No","No"
"Vermont","Orleans County","2","0","0","2","60","223.36","No","Yes"
"Vermont","Rutland County","11","6","2","19","1,480","2,495.36","No","No"
"Vermont","Washington County","30","2","3","35","1,925","3,290.37","No","No"
"Vermont","Windham County","18","11","0","29","1,640","3,801.14","No","No"
"Vermont","Windsor County","25","7","3","35","2,275","4,099.39","No","No"
"Virginia","Accomack County","1","0","0","1","30","91.06","No","Yes"
"Virginia","Albemarle County","9","1","1","11","645","603.49","No","No"
"Virginia","Alleghany County","3","0","0","3","90","577.11","Yes","No"
"Virginia","Amelia County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Amherst County","0","0","0","0","0","0","No","Yes"
"Virginia","Appomattox County","0","0","0","0","0","0","No","Yes"
"Virginia","Arlington County","20","4","1","25","1,275","554.23","No","No"
"Virginia","Augusta County","3","2","0","5","290","386.68","No","Yes"
"Virginia","Bath County","0","0","0","0","0","0","No","Yes"
"Virginia","Bedford County","10","2","0","12","500","641.35","No","No"
"Virginia","Bland County","0","0","0","0","0","0","No","Yes"
"Virginia","Botetourt County","2","1","0","3","160","481.48","No","No"
"Virginia","Brunswick County","1","0","0","1","30","184.69","No","Yes"
"Virginia","Buchanan County","0","0","2","2","550","2,479.94","Yes","No"
"Virginia","Buckingham County","0","0","0","0","0","0","No","Yes"
"Virginia","Campbell County","10","3","2","15","1,150","2,092.74","No","No"
"Virginia","Caroline County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Carroll County","1","0","0","1","30","101.59","No","Yes"
"Virginia","Charles City County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Charlotte County","0","0","0","0","0","0","No","Yes"
"Virginia","Chesterfield County","28","7","2","37","2,090","616.5","Yes","No"
"Virginia","Clarke County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Craig County","0","0","0","0","0","0","No","Yes"
"Virginia","Culpeper County","2","0","1","3","335","668.89","Yes","No"
"Virginia","Cumberland County","0","0","0","0","0","0","No","Yes"
"Virginia","Dickenson County","1","0","0","1","30","200.43","Yes","Yes"
"Virginia","Dinwiddie County","6","0","0","6","180","639.57","No","No"
"Virginia","Essex County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Fairfax County","88","25","15","128","9,265","813.68","No","No"
"Virginia","Fauquier County","1","1","1","3","405","586.37","Yes","No"
"Virginia","Floyd County","1","1","0","2","130","826.39","No","No"
"Virginia","Fluvanna County","0","0","0","0","0","0","No","Yes"
"Virginia","Franklin County","1","1","0","2","130","231.86","No","Yes"
"Virginia","Frederick County","2","1","0","3","160","189.53","Yes","Yes"
"Virginia","Giles County","0","0","0","0","0","0","No","Yes"
"Virginia","Gloucester County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Goochland County","2","0","0","2","60","264.69","No","Yes"
"Virginia","Grayson County","2","0","0","2","60","397.17","No","Yes"
"Virginia","Greene County","0","0","0","0","0","0","No","Yes"
"Virginia","Greensville County","0","0","0","0","0","0","No","Yes"
"Virginia","Halifax County","1","0","0","1","30","85.73","No","Yes"
"Virginia","Hanover County","4","0","0","4","120","114.95","Yes","Yes"
"Virginia","Henrico County","32","6","3","41","2,385","730.47","Yes","No"
"Virginia","Henry County","4","0","0","4","120","233.26","No","Yes"
"Virginia","Highland County","0","0","0","0","0","0","No","Yes"
"Virginia","Isle of Wight County","0","0","0","0","0","0","No","Yes"
"Virginia","James City County","10","1","2","13","950","1,276.81","Yes","No"
