Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2020,Bandera,2052,10,6103,29,21246
2020,Bastrop,5979,7,14474,17,86105
2020,Baylor,271,7,882,24,3624
2020,Bee,3241,9,4372,13,34445
2020,Bell,30469,9,37497,11,353629
2020,Bexar,165530,8,263330,13,2093502
2020,Blanco,760,7,3189,28,11504
2020,Borden,64,9,211,31,685
2020,Bosque,1169,7,4580,26,17765
2020,Bowie,5908,6,16517,18,92570
2020,Brazoria,17406,5,48738,13,375869
2020,Brazos,10338,5,21895,10,229410
2020,Brewster,816,9,1971,22,9133
2020,Briscoe,75,5,447,29,1568
2020,Brooks,671,9,1475,21,7175
2020,Brown,3106,8,8570,22,38923
2020,Burleson,1208,7,3895,22,17718
2020,Burnet,4045,8,11160,23,48196
2020,Caldwell,3176,7,6851,15,44284
2020,Calhoun,2036,9,4144,18,22840
2020,Callahan,1175,9,3104,23,13456
2020,Cameron,22678,5,61138,14,427881
2020,Camp,1056,8,2523,19,13322
2020,Carson,272,5,1071,18,5799
2020,Cass,2552,8,7312,24,30327
2020,Castro,289,4,1255,18,7103
2020,Chambers,2108,5,5528,13,42320
2020,Cherokee,3159,6,9250,18,52178
2020,Childress,522,7,1202,17,7062
2020,Clay,792,8,2359,24,9787
2020,Cochran,225,7,585,17,3348
2020,Coke,178,6,907,28,3215
2020,Coleman,522,6,2138,25,8478
2020,Collin,33731,3,123011,12,1039369
2020,Collingsworth,233,7,659,21,3210
2020,Colorado,1176,6,4862,23,21273
2020,Comal,10457,7,28113,19,147330
2020,Comanche,836,6,3266,25,13075
2020,Concho,223,5,823,20,4147
2020,Cooke,2482,6,7971,20,39727
2020,Coryell,9139,12,7224,9,78317
2020,Cottle,138,9,452,30,1510
2020,Crane,226,4,848,14,6209
2020,Crockett,214,5,860,21,4040
2020,Crosby,626,10,1411,22,6464
2020,Culberson,298,13,558,25,2245
2020,Dallam,533,7,704,10,7237
2020,Dallas,134352,5,298395,11,2734111
2020,Dawson,1556,11,2066,15,13592
2020,Deaf Smith,882,5,2329,13,18143
2020,Delta,423,8,1335,25,5367
2020,Denton,38216,4,98506,11,897953
2020,DeWitt,1770,8,4525,21,21737
2020,Dickens,219,10,578,27,2174
2020,Dimmit,1472,13,1813,15,11743
2020,Donley,139,4,860,25,3410
2020,Duval,1439,12,2263,19,11796
2020,Eastland,1853,10,4204,23,18205
2020,Ector,10680,6,18458,10,184841
2020,Edwards,219,11,606,30,1991
2020,Ellis,10595,6,25258,14,177721
2020,El Paso,59001,7,116415,13,876120
2020,Erath,2430,6,6281,15,41526
2020,Falls,1969,12,3226,19,16603
2020,Fannin,2611,8,7372,21,34597
2020,Fayette,1611,6,6713,26,26086
2020,Fisher,248,6,1041,26,3985
2020,Floyd,283,5,1281,22,5786
2020,Foard,76,6,350,28,1240
2020,Fort Bend,28970,3,105137,13,840383
2020,Franklin,810,7,2209,20,10924
2020,Freestone,2006,10,3975,20,19860
2020,Frio,1789,9,2703,13,20023
2020,Gaines,1374,6,2362,11,22121
2020,Galveston,23275,7,53327,15,355196
2020,Garza,649,10,798,12,6784
2020,Gillespie,1226,5,7787,30,26191
2020,Glasscock,11,1,304,22,1365
2020,Goliad,475,6,2044,26,7717
2020,Gonzales,1663,8,3851,18,21347
2020,Gray,2136,9,3785,16,24252
2020,Grayson,11043,8,24864,19,131710
2020,Gregg,9029,7,19943,16,125730
2020,Grimes,1955,7,5641,19,28930
2020,Guadalupe,10834,6,24811,15,170266
2020,Hale,1782,5,4719,14,33202
2020,Hall,201,6,820,25,3305
2020,Hamilton,778,9,2033,25,8220
2020,Hansford,338,6,974,17,5820
2020,Hardeman,484,13,780,20,3870
