"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","I_35","percent_comp"
"48071","Chambers","9.3000000000000007","11",1.1181,NA,17.0298,4.6732,1.9209,42454,98,40,"     5.9","42,320","9",21.3,"2",4.7,"13",30.7,"1",2.4,"2",4.7,"6",14.2,"Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,8.2,NA,4.80556569538984,24.7739434242249,"Non I-35 Corridor",0.921052631578947
"48073","Cherokee","16.699999999999999","24.399999999999999",1.6355,NA,19.264,3.3024,3.5383,52592,130,74,"     4.4","52,178","10",19.2,"9",17.2,"34",65.2,"35",67.1,"4",7.7,"35",67.1,"Micropolitan Statistical Area","Central","27380","Jacksonville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,28.5,NA,6.20487185590732,21.0098430514336,"Non I-35 Corridor",0.921052631578947
"48075","Childress","21.399999999999999","24.100000000000001",2.7685,0,14.5072,2.5471,1.9934,7291,60,65,"     2.9","7,062","0",0,"1",14.2,"3",42.5,"1",14.2,"0",0,"10",141.6,NA,NA,NA,NA,NA,7,"TX",6,11,63.9,NA,4.60684273709484,23.2821360230446,"Non I-35 Corridor",0.815789473684211
"48077","Clay","11.1","14.6",1.6446,0,20.6897,5.6233,1.9629,10456,20,21,"     3.4","9,787","2",20.4,"0",0,"5",51.1,"2",20.4,"0",0,"5",51.1,"Metropolitan Statistical Area","Outlying","48660","Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,12.6,NA,8.54374633000587,21.9790354371071,"Non I-35 Corridor",0.947368421052632
"48079","Cochran","19.199999999999999","29.399999999999999",NA,NA,14.0921,NA,NA,2836,3,1,"     4.8","3,348","1",29.9,"0",0,"2",59.7,"1",29.9,"0",0,"1",29.9,NA,NA,NA,NA,NA,9,"TX",6,10,17.6,NA,4.20102080879466,27.2771567106247,"Non I-35 Corridor",0.710526315789474
"48081","Coke","11.4","18",NA,0,16.8831,3.4091,3.2468,3370,NA,NA,"     3.5","3,215","0",0,"0",0,"2",62.2,"1",31.1,"2",62.2,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,NA,NA,7.8234398782344,24.1987973451614,"Non I-35 Corridor",0.710526315789474
"48083","Coleman","16","28.100000000000001",0.9709,NA,16.4509,1.5102,1.9417,8397,7,2,"     4.1","8,478","2",23.6,"0",0,"1",11.8,"2",23.6,"0",0,"4",47.2,NA,NA,NA,NA,NA,6,"TX",6,6,14.3,NA,9.03175429463821,27.9468238353729,"Non I-35 Corridor",0.789473684210526
"48085","Collin","6.2000000000000002","6.7000000000000002",1.3896,0.1328,19.5319,2.2956,2.2434,1005146,1010,705,"     2.9","1,039,369","128",12.3,"276",26.6,"1,071",103,"79",7.6,"364",35,"1,055",101.5,"Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,29.7,2.72437327671647,4.17467929899057,10.2730318903923,"Non I-35 Corridor",0.973684210526316
"48087","Collingsworth","16.899999999999999","25.5",NA,0,14.7705,2.7944,2.5948,2962,10,4,"     2.7","3,210","0",0,"0",0,"1",31.2,"0",0,"0",0,"1",31.2,NA,NA,NA,NA,NA,9,"TX",6,10,14.2,NA,7.12669683257919,23.2821360230446,"Non I-35 Corridor",0.789473684210526
"48089","Colorado","12.699999999999999","18.399999999999999",1.248,NA,14.6906,1.118,2.8861,21217,46,53,"     3.4","21,273","6",28.2,"1",4.7,"4",18.8,"2",9.4,"1",4.7,"20",94,NA,NA,NA,NA,NA,6,"TX",6,4,22,14.5935691005497,6.32387994357153,19.623938202858,"Non I-35 Corridor",0.815789473684211
